Symbol,Date,Prd_End,Estimate,Reported,Surprise
SPG,2019-10-30,Sep 2019,3.05,1.77,-0.4196721311475409
SPGI,2019-10-29,Sep 2019,2.33,2.46,0.05579399141630897
SRE,2019-11-01,Sep 2019,1.49,1.5,0.00671140939597316
STT,2019-10-18,Sep 2019,1.39,1.51,0.08633093525179865
STX,2019-11-01,Sep 2019,1.0,1.03,0.030000000000000027
STZ,2019-10-03,Aug 2019,2.61,2.72,0.04214559386973193
SWK,2019-10-24,Sep 2019,2.02,2.13,0.05445544554455439
SWKS,2019-11-12,Sep 2019,1.5,1.52,0.013333333333333345
SYF,2019-10-18,Sep 2019,1.12,1.22,0.08928571428571416
SYK,2019-10-29,Sep 2019,1.91,1.91,0.0
SYY,2019-11-04,Sep 2019,0.97,0.98,0.010309278350515474
T,2019-10-28,Sep 2019,0.93,0.94,0.0107526881720429
TAP,2019-10-30,Sep 2019,1.46,1.48,0.013698630136986314
TDG,2019-11-19,Sep 2019,5.08,5.62,0.1062992125984252
TEL,2019-10-30,Sep 2019,1.31,1.33,0.015267175572519097
TFX,2019-10-31,Sep 2019,2.75,2.97,0.08000000000000007
TGT,2019-11-20,Oct 2019,1.19,1.36,0.142857142857143
TIF,2019-12-05,Oct 2019,0.85,0.65,-0.23529411764705876
TJX,2019-11-19,Oct 2019,0.66,0.68,0.030303030303030328
TMO,2019-10-23,Sep 2019,2.88,2.94,0.020833333333333353
TMUS,2019-10-28,Sep 2019,0.97,1.16,0.19587628865979376
TPR,2019-11-05,Sep 2019,0.37,0.4,0.08108108108108115
TRIP,2019-11-06,Sep 2019,0.69,0.58,-0.15942028985507245
TROW,2019-10-24,Sep 2019,1.98,2.13,0.07575757575757572
TRV,2019-10-22,Sep 2019,2.38,1.43,-0.39915966386554624
TSCO,2019-10-24,Sep 2019,1.04,1.04,0.0
TSN,2019-11-12,Sep 2019,1.23,1.21,-0.016260162601626032
TTWO,2019-11-07,Sep 2019,1.67,1.89,0.13173652694610777
TWTR,2019-10-24,Sep 2019,0.2,0.17,-0.15
TXN,2019-10-22,Sep 2019,1.41,1.49,0.056737588652482324
TXT,2019-10-17,Sep 2019,0.85,0.95,0.11764705882352938
UAA,2019-11-04,Sep 2019,0.18,0.23,0.2777777777777779
UAL,2019-10-15,Sep 2019,3.94,4.07,0.032994923857868105
UDR,2019-10-29,Sep 2019,0.52,0.09,-0.826923076923077
UHS,2019-10-24,Sep 2019,2.26,1.99,-0.11946902654867249
ULTA,2019-12-05,Oct 2019,2.13,2.25,0.056338028169014134
UNH,2019-10-15,Sep 2019,3.75,3.88,0.03466666666666664
UNM,2019-10-29,Sep 2019,1.37,1.36,-0.0072992700729927066
UNP,2019-10-17,Sep 2019,2.29,2.22,-0.03056768558951958
UPS,2019-10-22,Sep 2019,2.06,2.07,0.004854368932038731
URI,2019-10-16,Sep 2019,5.53,5.96,0.07775768535262201
USB,2019-10-16,Sep 2019,1.11,1.15,0.03603603603603586
V,2019-10-24,Sep 2019,1.43,1.47,0.027972027972028
VAR,2019-10-23,Sep 2019,1.21,1.21,0.0
VFC,2019-10-25,Sep 2019,1.3,1.26,-0.030769230769230795
VLO,2019-10-24,Sep 2019,1.35,1.48,0.09629629629629621
VMC,2019-11-06,Sep 2019,1.7,1.68,-0.011764705882352951
VNO,2019-10-28,Sep 2019,0.87,0.89,0.022988505747126457
VRSK,2019-10-29,Sep 2019,1.13,1.12,-0.008849557522123706
VRSN,2019-10-24,Sep 2019,1.31,1.36,0.038167938931297746
VRTX,2019-10-30,Sep 2019,1.14,1.23,0.07894736842105271
VTR,2019-10-25,Sep 2019,0.94,0.23,-0.7553191489361702
VZ,2019-10-25,Sep 2019,1.24,1.25,0.008064516129032265
WAB,2019-10-31,Sep 2019,1.0,1.03,0.030000000000000027
WAT,2019-10-29,Sep 2019,2.13,2.13,0.0
WBA,2019-10-28,Aug 2019,1.41,1.43,0.014184397163120581
WDC,2019-10-30,Sep 2019,0.27,0.34,0.25925925925925924
WEC,2019-11-06,Sep 2019,0.73,0.74,0.013698630136986314
WELL,2019-10-28,Sep 2019,1.04,1.05,0.009615384615384623
WFC,2019-10-15,Sep 2019,1.15,0.92,-0.1999999999999999
WHR,2019-10-22,Sep 2019,3.96,3.97,0.0025252525252525836
WLTW,2019-10-31,Sep 2019,1.3,1.31,0.007692307692307699
WM,2019-10-23,Sep 2019,1.16,1.19,0.025862068965517265
WMB,2019-10-30,Sep 2019,0.24,0.26,0.08333333333333341
WMT,2019-11-14,Oct 2019,1.09,1.16,0.06422018348623838
WRK,2019-11-07,Sep 2019,1.21,1.24,0.024793388429752088
WU,2019-10-31,Sep 2019,0.47,0.49,0.04255319148936174
WY,2019-10-25,Sep 2019,0.1,0.08,-0.20000000000000004
WYNN,2019-11-06,Sep 2019,0.88,0.17,-0.8068181818181818
XEC,2019-11-04,Sep 2019,0.93,0.91,-0.02150537634408604
XEL,2019-10-24,Sep 2019,1.05,1.01,-0.038095238095238126
XLNX,2019-10-23,Sep 2019,0.92,0.94,0.021739130434782507
XOM,2019-11-01,Sep 2019,0.64,0.68,0.06250000000000006
XRAY,2019-11-07,Sep 2019,0.5,0.57,0.1399999999999999
XRX,2019-10-29,Sep 2019,0.85,1.08,0.27058823529411774
XYL,2019-10-31,Sep 2019,0.82,0.82,0.0
YUM,2019-10-30,Sep 2019,0.94,0.8,-0.14893617021276587
ZBH,2019-11-05,Sep 2019,1.76,1.77,0.005681818181818187
ZION,2019-10-21,Sep 2019,1.08,1.17,0.08333333333333319
ZTS,2019-11-07,Sep 2019,0.89,0.94,0.0561797752808988
