Symbol,Date,Prd_End,Estimate,Reported,Surprise
AXP,2019-10-18,Sep 2019,2.07,2.08,0.004830917874396247
AZO,2019-09-24,Aug 2019,1.64,2.59,0.5792682926829268
BA,2019-10-23,Sep 2019,2.04,1.45,-0.28921568627450983
BAC,2019-10-16,Sep 2019,0.5,0.56,0.1200000000000001
BBY,2019-11-26,Oct 2019,1.04,1.13,0.0865384615384614
BDX,2019-11-05,Sep 2019,3.3,3.31,0.0030303030303031006
BEN,2019-10-25,Sep 2019,0.65,0.61,-0.06153846153846159
BF-B,2019-12-05,Oct 2019,0.53,0.59,0.11320754716981121
BIIB,2019-10-22,Sep 2019,8.27,9.17,0.10882708585247888
BK,2019-10-16,Sep 2019,0.99,1.07,0.08080808080808088
BKNG,2019-11-07,Sep 2019,4.87,5.36,0.10061601642710477
BLK,2019-10-15,Sep 2019,6.95,7.15,0.028776978417266213
BLL,2019-10-31,Sep 2019,0.73,0.7,-0.04109589041095894
BMY,2019-10-31,Sep 2019,1.06,1.17,0.10377358490566026
BR,2019-11-06,Sep 2019,0.72,0.68,-0.055555555555555455
BSX,2019-10-23,Sep 2019,0.38,0.39,0.026315789473684233
BWA,2019-10-31,Sep 2019,0.85,0.96,0.12941176470588234
BXP,2019-10-29,Sep 2019,1.62,1.64,0.012345679012345552
C,2019-10-15,Sep 2019,1.96,1.98,0.01020408163265307
CAG,2019-09-26,Aug 2019,0.39,0.43,0.1025641025641025
CAH,2019-11-07,Sep 2019,1.09,1.27,0.165137614678899
CAT,2019-10-23,Sep 2019,2.82,2.66,-0.056737588652482164
CB,2019-10-29,Sep 2019,2.64,2.7,0.022727272727272745
CBOE,2019-11-01,Sep 2019,1.16,1.29,0.11206896551724149
CBRE,2019-11-06,Sep 2019,0.78,0.79,0.012820512820512832
CCI,2019-10-16,Sep 2019,1.48,1.55,0.04729729729729734
CCL,2019-09-26,Aug 2019,2.53,2.63,0.03952569169960478
CDNS,2019-10-21,Sep 2019,0.51,0.54,0.058823529411764754
CE,2019-10-21,Sep 2019,2.5,2.53,0.011999999999999922
CERN,2019-10-24,Sep 2019,0.65,0.66,0.015384615384615398
CF,2019-10-30,Sep 2019,0.34,0.29,-0.14705882352941188
CFG,2019-10-18,Sep 2019,0.96,0.98,0.020833333333333353
CHD,2019-10-31,Sep 2019,0.61,0.66,0.08196721311475418
CHRW,2019-10-29,Sep 2019,1.16,1.07,-0.0775862068965516
CHTR,2019-10-25,Sep 2019,1.66,1.74,0.048192771084337394
CI,2019-10-31,Sep 2019,4.37,4.54,0.0389016018306636
CINF,2019-10-24,Sep 2019,0.93,1.08,0.16129032258064518
CL,2019-11-01,Sep 2019,0.7,0.71,0.0142857142857143
CLX,2019-10-31,Sep 2019,1.54,1.59,0.03246753246753249
CMA,2019-10-16,Sep 2019,1.91,1.93,0.010471204188481685
CMCSA,2019-10-24,Sep 2019,0.75,0.79,0.05333333333333338
CME,2019-10-30,Sep 2019,1.75,1.9,0.08571428571428566
CMG,2019-10-22,Sep 2019,3.2,3.82,0.1937499999999999
CMI,2019-10-29,Sep 2019,3.84,3.83,-0.0026041666666666114
CMS,2019-10-24,Sep 2019,0.62,0.73,0.17741935483870966
CNC,2019-10-22,Sep 2019,0.95,0.96,0.010526315789473694
CNP,2019-11-07,Sep 2019,0.43,0.53,0.2325581395348838
COF,2019-10-24,Sep 2019,2.87,3.32,0.15679442508710792
COG,2019-10-24,Sep 2019,0.27,0.29,0.07407407407407393
COO,2019-12-05,Oct 2019,3.27,3.3,0.009174311926605444
COP,2019-10-29,Sep 2019,0.78,0.82,0.05128205128205118
COST,2019-10-03,Aug 2019,2.54,2.69,0.059055118110236185
COTY,2019-11-06,Sep 2019,0.06,0.07,0.16666666666666682
CPB,2019-12-04,Oct 2019,0.69,0.78,0.1304347826086958
CPRI,2019-11-06,Sep 2019,1.25,1.16,-0.07200000000000006
CPRT,2019-11-20,Oct 2019,0.59,0.65,0.10169491525423738
CRM,2019-12-03,Oct 2019,0.66,0.75,0.1363636363636363
CSCO,2019-11-13,Oct 2019,0.81,0.84,0.03703703703703693
CSX,2019-10-16,Sep 2019,1.01,1.08,0.06930693069306937
CTAS,2019-09-24,Aug 2019,2.14,2.32,0.08411214953271014
CTL,2019-11-06,Sep 2019,0.32,0.31,-0.03125000000000003
CTSH,2019-10-30,Sep 2019,1.05,1.08,0.028571428571428595
CTVA,2019-10-31,Sep 2019,0.46,0.39,-0.15217391304347827
CTXS,2019-10-24,Sep 2019,1.24,1.52,0.22580645161290325
CVS,2019-11-06,Sep 2019,1.77,1.84,0.039548022598870095
CVX,2019-11-01,Sep 2019,1.47,1.59,0.08163265306122457
CXO,2019-10-29,Sep 2019,0.66,0.61,-0.07575757575757582
D,2019-11-01,Sep 2019,1.16,1.18,0.017241379310344845
DAL,2019-10-10,Sep 2019,2.27,2.32,0.022026431718061595
DD,2019-10-31,Sep 2019,0.95,0.96,0.010526315789473694
DE,2019-11-27,Oct 2019,2.13,2.14,0.004694835680751282
DFS,2019-10-22,Sep 2019,2.29,2.36,0.03056768558951958
DG,2019-12-05,Oct 2019,1.38,1.42,0.02898550724637684
DGX,2019-10-22,Sep 2019,1.72,1.76,0.023255813953488393
DHI,2019-11-12,Sep 2019,1.25,1.35,0.08000000000000007
DHR,2019-10-24,Sep 2019,1.15,1.16,0.008695652173913052
DIS,2019-11-07,Sep 2019,0.95,1.07,0.12631578947368433
DISCA,2019-11-07,Sep 2019,0.83,0.87,0.048192771084337394
DISH,2019-11-07,Sep 2019,0.59,0.66,0.11864406779661028
DLR,2019-10-29,Sep 2019,1.64,0.24,-0.8536585365853658
DLTR,2019-11-26,Oct 2019,1.12,1.08,-0.03571428571428574
DOV,2019-10-17,Sep 2019,1.53,1.6,0.04575163398692814
DOW,2019-10-24,Sep 2019,0.72,0.91,0.263888888888889
DRE,2019-10-30,Sep 2019,0.37,0.62,0.6756756756756757
DRI,2019-09-19,Aug 2019,1.36,1.38,0.014705882352941025
DTE,2019-10-28,Sep 2019,2.0,1.91,-0.04500000000000004
DUK,2019-11-08,Sep 2019,1.69,1.79,0.05917159763313615
DVA,2019-11-05,Sep 2019,1.23,1.53,0.2439024390243903
DVN,2019-11-05,Sep 2019,0.19,0.26,0.368421052631579
DXC,2019-11-11,Sep 2019,1.44,1.38,-0.041666666666666706
EA,2019-10-29,Sep 2019,0.85,0.96,0.12941176470588234
EBAY,2019-10-23,Sep 2019,0.65,0.67,0.030769230769230795
ECL,2019-10-29,Sep 2019,1.72,1.71,-0.005813953488372098
ED,2019-11-04,Sep 2019,1.59,1.54,-0.03144654088050317
EFX,2019-10-23,Sep 2019,1.44,1.48,0.027777777777777804
EIX,2019-10-29,Sep 2019,1.53,1.49,-0.026143790849673224
EL,2019-10-31,Sep 2019,1.6,1.67,0.0437499999999999
EMN,2019-10-24,Sep 2019,1.99,1.94,-0.02512562814070354
EMR,2019-11-05,Sep 2019,1.07,1.07,0.0
EOG,2019-11-06,Sep 2019,1.14,1.13,-0.008771929824561412
EQIX,2019-10-30,Sep 2019,5.45,1.41,-0.7412844036697247
EQR,2019-10-22,Sep 2019,0.88,0.71,-0.19318181818181823
ES,2019-11-05,Sep 2019,0.94,0.98,0.04255319148936174
ESS,2019-10-23,Sep 2019,3.36,1.51,-0.550595238095238
ETFC,2019-10-17,Sep 2019,1.0,1.08,0.08000000000000007
ETN,2019-10-29,Sep 2019,1.51,1.52,0.006622516556291397
ETR,2019-10-30,Sep 2019,2.31,2.52,0.0909090909090909
EVRG,2019-11-06,Sep 2019,1.59,1.57,-0.012578616352201269
EW,2019-10-23,Sep 2019,1.22,1.41,0.15573770491803274
EXC,2019-10-31,Sep 2019,0.88,0.92,0.0454545454545455
EXPD,2019-11-05,Sep 2019,0.9,0.92,0.02222222222222224
EXPE,2019-11-06,Sep 2019,3.82,3.38,-0.11518324607329843
EXR,2019-10-29,Sep 2019,1.24,0.83,-0.3306451612903226
F,2019-10-23,Sep 2019,0.26,0.34,0.30769230769230776
FANG,2019-11-05,Sep 2019,1.71,1.47,-0.14035087719298245
FAST,2019-10-11,Sep 2019,0.35,0.37,0.0571428571428572
FB,2019-10-30,Sep 2019,1.91,2.12,0.1099476439790577
FBHS,2019-10-23,Sep 2019,0.97,0.95,-0.020618556701030948
FCX,2019-10-23,Sep 2019,0.01,0.01,0.0
FDX,2019-09-17,Aug 2019,3.17,3.05,-0.0378548895899054
FE,2019-11-04,Sep 2019,0.73,0.76,0.04109589041095894
FFIV,2019-10-23,Sep 2019,2.55,2.59,0.015686274509803935
FIS,2019-11-05,Sep 2019,1.35,1.43,0.059259259259259144
FISV,2019-11-06,Sep 2019,1.03,1.02,-0.009708737864077678
FITB,2019-10-22,Sep 2019,0.73,0.75,0.02739726027397263
FL,2019-11-22,Oct 2019,1.07,1.13,0.05607476635514003
FLIR,2019-10-31,Sep 2019,0.58,0.59,0.017241379310344845
FLS,2019-10-30,Sep 2019,0.56,0.59,0.053571428571428416
FLT,2019-11-06,Sep 2019,3.05,3.1,0.016393442622950907
FMC,2019-10-29,Sep 2019,0.8,0.94,0.17499999999999988
FOXA,2019-11-06,Sep 2019,0.7,0.83,0.18571428571428572
FRC,2019-10-15,Sep 2019,1.21,1.31,0.08264462809917363
FRT,2019-10-30,Sep 2019,1.59,0.84,-0.47169811320754723
FTI,2019-10-23,Sep 2019,0.49,0.12,-0.7551020408163265
FTNT,2019-10-31,Sep 2019,0.56,0.67,0.1964285714285714
FTV,2019-10-24,Sep 2019,0.87,0.87,0.0
GD,2019-10-23,Sep 2019,3.06,3.14,0.026143790849673224
GE,2019-10-30,Sep 2019,0.12,0.15,0.25
GILD,2019-10-24,Sep 2019,1.76,1.75,-0.005681818181818187
GIS,2019-09-18,Aug 2019,0.77,0.79,0.025974025974025997
