30-APR-20,Mar 2020, - $0.08, - $0.45,-0.37,-462.5
12-FEB-20,Dec 2019,$0.24,$0.08,-0.16,-66.6
30-OCT-19,Sep 2019,$0.29,$0.31,0.02,6.9
25-JUL-19,Jun 2019,$0.25,$0.23,-0.02,-8.0
29-APR-19,Mar 2019,$0.16,$0.12,-0.04,-25.0
13-FEB-19,Dec 2018,$0.13,$0.14,0.01,7.6
30-OCT-18,Sep 2018,$0.18,$0.24,0.06,33.3
02-AUG-18,Jun 2018,$0.26,$0.26,0.00,0.0
26-APR-18,Mar 2018,$0.31,$0.34,0.03,9.6
