28-APR-20,Mar 2020,$1.68,$1.90,0.22,13.1
30-JAN-20,Dec 2019,$1.63,$1.67,0.04,2.4
31-OCT-19,Sep 2019,$1.59,$1.68,0.09,5.6
01-AUG-19,Jun 2019,$1.49,$1.54,0.05,3.3
02-MAY-19,Mar 2019,$1.41,$1.55,0.14,9.9
31-JAN-19,Dec 2018,$1.30,$1.31,0.01,0.7
01-NOV-18,Sep 2018,$1.30,$1.35,0.05,3.8
02-AUG-18,Jun 2018,$1.28,$1.30,0.02,1.5
03-MAY-18,Mar 2018,$1.28,$1.31,0.03,2.3
01-FEB-18,Dec 2017,$0.99,$1.15,0.16,16.1
