28-APR-20,Mar 2020, - $0.48, - $0.15,0.33,68.7
23-JAN-20,Dec 2019,$1.11,$0.98,-0.13,-11.7
24-OCT-19,Sep 2019,$1.09,$1.23,0.14,12.8
25-JUL-19,Jun 2019,$1.35,$1.37,0.02,1.4
25-APR-19,Mar 2019,$0.61,$0.70,0.09,14.7
24-JAN-19,Dec 2018,$1.06,$1.17,0.11,10.3
25-OCT-18,Sep 2018,$1.06,$1.08,0.02,1.8
26-JUL-18,Jun 2018,$1.25,$1.26,0.01,0.8
26-APR-18,Mar 2018,$0.75,$0.75,0.00,0.0
25-JAN-18,Dec 2017,$0.76,$0.77,0.01,1.3
