"05-MAY-20","Mar 2020"," - $0.24"," - $0.16","0.08","31.9"
"29-JAN-20","Dec 2019","$0.85","$1.56","0.71","83.5"
"31-OCT-19","Sep 2019","$1.30","$1.63","0.33","25.3"
"01-AUG-19","Jun 2019","$1.33","$1.73","0.40","30.0"
"08-MAY-19","Mar 2019","$0.01"," - $0.09","-0.10","-1,000.0"
"07-FEB-19","Dec 2018","$1.98","$2.41","0.43","21.7"
"01-NOV-18","Sep 2018","$1.68","$1.70","0.02","1.1"
"26-JUL-18","Jun 2018","$1.98","$2.27","0.29","14.6"
"30-APR-18","Mar 2018","$0.14","$0.08","-0.06","-42.8"
"01-FEB-18","Dec 2017","$0.96","$1.05","0.09","9.3"
