06-FEB-20,Dec 2019,$0.85, - $0.62,-1.47,-172.9
06-NOV-19,Sep 2019,$0.88,$0.17,-0.71,-80.6
06-AUG-19,Jun 2019,$1.42,$1.44,0.02,1.4
09-MAY-19,Mar 2019,$1.59,$1.61,0.02,1.2
30-JAN-19,Dec 2018,$1.36,$1.06,-0.30,-22.0
07-NOV-18,Sep 2018,$1.77,$1.68,-0.09,-5.0
01-AUG-18,Jun 2018,$2.03,$1.53,-0.50,-24.6
24-APR-18,Mar 2018,$1.96,$2.30,0.34,17.3
22-JAN-18,Dec 2017,$1.36,$1.40,0.04,2.9
