27-FEB-20,Dec 2019,$0.57,$0.54,-0.03,-5.2
07-NOV-19,Sep 2019,$2.14,$1.88,-0.26,-12.1
07-AUG-19,Jun 2019,$0.78,$0.70,-0.08,-10.2
02-MAY-19,Mar 2019,$0.39,$0.34,-0.05,-12.8
28-FEB-19,Dec 2018,$0.07,$0.13,0.06,85.7
08-NOV-18,Sep 2018,$1.12,$0.94,-0.18,-16.0
02-AUG-18,Jun 2018,$0.86,$0.31,-0.55,-63.9
01-MAR-18,Dec 2017, - $0.08,$0.51,0.59,737.5
