30-APR-20,Mar 2020, - $3.25, - $2.57,0.68,20.9
21-JAN-20,Dec 2019,$2.64,$2.67,0.03,1.1
15-OCT-19,Sep 2019,$3.94,$4.07,0.13,3.3
16-JUL-19,Jun 2019,$4.07,$4.21,0.14,3.4
16-APR-19,Mar 2019,$0.94,$1.15,0.21,22.3
15-JAN-19,Dec 2018,$1.86,$2.41,0.55,29.5
16-OCT-18,Sep 2018,$3.09,$3.06,-0.03,-0.9
17-JUL-18,Jun 2018,$3.07,$3.23,0.16,5.2
17-APR-18,Mar 2018,$0.49,$0.50,0.01,2.0
23-JAN-18,Dec 2017,$1.34,$1.40,0.06,4.4
