30-APR-20,Mar 2020, - $0.16, - $0.27,-0.11,-68.7
06-FEB-20,Dec 2019,$0.98,$1.10,0.12,12.2
05-NOV-19,Sep 2019,$0.37,$0.40,0.03,8.1
15-AUG-19,Jun 2019,$0.61,$0.61,0.00,0.0
09-MAY-19,Mar 2019,$0.41,$0.42,0.01,2.4
07-FEB-19,Dec 2018,$1.11,$1.07,-0.04,-3.6
30-OCT-18,Sep 2018,$0.44,$0.48,0.04,9.0
14-AUG-18,Jun 2018,$0.57,$0.60,0.03,5.2
01-MAY-18,Mar 2018,$0.50,$0.54,0.04,8.0
06-FEB-18,Dec 2017,$0.86,$1.07,0.21,24.4
