28-APR-20,Mar 2020, - $0.10, - $0.23,-0.13,-130.0
04-FEB-20,Dec 2019,$0.17,$0.12,-0.05,-29.4
23-OCT-19,Sep 2019,$0.26,$0.34,0.08,30.7
24-JUL-19,Jun 2019,$0.30,$0.32,0.02,6.6
25-APR-19,Mar 2019,$0.26,$0.44,0.18,69.2
23-JAN-19,Dec 2018,$0.31,$0.30,-0.01,-3.2
24-OCT-18,Sep 2018,$0.29,$0.29,0.00,0.0
25-JUL-18,Jun 2018,$0.31,$0.27,-0.04,-12.9
25-APR-18,Mar 2018,$0.41,$0.43,0.02,4.8
24-JAN-18,Dec 2017,$0.42,$0.39,-0.03,-7.1
